-0.48627,-0.4354,-0.56215,15.299,9.1736,6.1552,-1
-0.50053,-0.45352,-0.57049,15.317,9.175,6.1672,-1
-0.52368,-0.47957,-0.58915,15.27,9.1352,6.1568,-1
-0.50334,-0.4547,-0.57471,14.818,8.8263,6.0179,-1
-0.48217,-0.43044,-0.55975,15.426,9.2721,6.185,-1
-0.49649,-0.44487,-0.57212,14.915,8.8797,6.0649,-1
-0.51273,-0.46624,-0.58133,15.143,9.0385,6.1285,-1
-0.49847,-0.45052,-0.56935,15.02,8.9726,6.0728,-1
-0.50647,-0.45974,-0.57473,14.699,8.7378,5.9843,-1
-0.49314,-0.44341,-0.56624,14.893,8.8777,6.0426,-1
-0.49987,-0.45116,-0.57103,14.683,8.7304,5.978,-1
-0.48841,-0.43837,-0.56198,14.913,8.8905,6.0502,-1
-0.49432,-0.44445,-0.56797,15.109,9.0236,6.1135,-1
-0.49444,-0.44645,-0.56583,15.242,9.129,6.1389,-1
-0.51168,-0.46529,-0.57985,14.92,8.8915,6.052,-1
-0.49776,-0.44987,-0.5686,14.959,8.9391,6.0456,-1
-0.51358,-0.46922,-0.5799,15.346,9.2075,6.1611,-1
-0.51427,-0.4689,-0.58144,15.147,9.0529,6.1173,-1
-0.51228,-0.46789,-0.57795,15.049,8.9917,6.0793,-1
-0.53308,-0.49433,-0.59022,15.065,8.9859,6.0963,-1
-0.53452,-0.4957,-0.59139,14.837,8.8275,6.0262,-1
-0.51385,-0.47094,-0.57706,14.818,8.8369,6.0017,-1
-0.53304,-0.49262,-0.59187,14.711,8.7283,5.9998,-1
-0.50502,-0.45888,-0.57223,14.759,8.7639,6.0175,-1
-0.52223,-0.47896,-0.58509,14.8,8.7765,6.0438,-1
-0.49394,-0.4465,-0.5637,15.058,8.9762,6.1064,-1
-0.53421,-0.49196,-0.59585,15.011,8.9162,6.1145,-1
-0.51744,-0.47238,-0.58333,15.06,8.9557,6.1267,-1
-0.51297,-0.46933,-0.57639,14.867,8.8177,6.07,-1
-0.51156,-0.46871,-0.57411,14.918,8.8637,6.0746,-1
-0.51165,-0.47098,-0.57099,14.76,8.7679,6.0098,-1
-0.51476,-0.47478,-0.57369,15.077,8.9918,6.1027,-1
-0.48687,-0.43977,-0.55561,14.705,8.7386,5.9897,-1
-0.50198,-0.45872,-0.56564,15.073,8.986,6.1082,-1
-0.48629,-0.44111,-0.55371,15.406,9.2379,6.1917,-1
-0.49133,-0.44769,-0.55665,15.408,9.2492,6.1808,-1
-0.48507,-0.44024,-0.55232,15.578,9.3606,6.2411,-1
-0.47255,-0.42419,-0.54487,15.545,9.3304,6.2423,-1
-0.48231,-0.4345,-0.55275,15.203,9.0705,6.1582,-1
-0.49067,-0.44477,-0.5586,15.47,9.2438,6.2503,-1
-0.49074,-0.44591,-0.55715,15.351,9.1769,6.1968,-1
-0.50688,-0.46307,-0.57148,15.231,9.0876,6.1652,-1
-0.49769,-0.45263,-0.56488,15.389,9.2241,6.1882,-1
-0.49091,-0.4446,-0.56028,15.407,9.253,6.1791,-1
-0.51014,-0.46592,-0.57617,15.452,9.2657,6.2087,-1
-0.50126,-0.45733,-0.56686,15.434,9.2559,6.2005,-1
