vm_pu,va_degree,p_mw,q_mvar
1.03,0.0,-43.203467322281746,-16.008198083678575
0.9927501741743976,-6.054333999627046,19.839,4.637136047137856
0.9751107156484891,-6.534750817509752,0.0,0.0
0.9476075709624705,-7.323631726694375,0.4817,0.20888231317781525
0.9457933073803532,-7.416318605469195,0.4116500000000016,0.10818168745217438
0.9445494131529237,-7.480085280511534,0.697499999999998,0.18232868671714808
0.9430875861544246,-7.554897214032552,0.5180499999999988,0.13735427732691807
0.9477363259333794,-7.03674204280945,-1.4235000000000007,0.04741044188783761
0.9447553418004991,-7.315385821893013,0.5568499999999972,0.14707847395183293
0.9438097819757812,-7.3502549380656435,0.5437499999999993,0.3555783141587803
0.9426103296185335,-7.408168456898285,0.503300000000003,0.16126402366661452
0.9424182498093265,-7.418149031206169,0.3197999999999972,0.08265567131177409
1.0000843921435332,-5.48740689723645,20.01,4.693341029123442
0.9952212791502268,-5.535206940264053,0.03399999999999892,0.021071307505705406
0.9924362203347372,-5.563923475752906,0.5400500000000008,0.2577128050395441
